Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	29.9%
LLD:	20.6%
Calibration Coefficients:	23.1138	2.1964	0.000895289
Channels used to calibrate:	205	477	637
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	0
Live Time Elapsed:	0
Start Time:	30/03/2017 13:29:40
Stop Time:	

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	-1	-1	0	0	0	0

Data:
0	755797
1	665618
2	435353
3	1668
4	1429
5	1469
6	1598
7	1765
8	1773
9	1808
10	1628
11	1478
12	1487
13	1506
14	1444
15	1435
16	1493
17	1875
18	2303
19	2348
20	2565
21	1625
22	1044
23	1122
24	1291
25	1519
26	1659
27	3836
28	8769
29	2867
30	2507
31	2563
32	2633
33	2565
34	2506
35	2540
36	2539
37	2494
38	2443
39	2206
40	2142
41	1952
42	1803
43	1695
44	1461
45	1350
46	1161
47	1078
48	1016
49	920
50	914
51	774
52	843
53	845
54	792
55	788
56	780
57	791
58	792
59	803
60	810
61	839
62	834
63	802
64	803
65	834
66	869
67	851
68	843
69	893
70	857
71	791
72	879
73	866
74	851
75	864
76	929
77	938
78	965
79	938
80	1008
81	958
82	1073
83	1061
84	1148
85	1128
86	1187
87	1217
88	1308
89	1346
90	1362
91	1520
92	1510
93	1589
94	1694
95	1675
96	1757
97	1758
98	1735
99	1776
100	1705
101	1658
102	1581
103	1491
104	1341
105	1331
106	1247
107	1081
108	1056
109	1064
110	930
111	831
112	862
113	802
114	756
115	805
116	690
117	725
118	710
119	720
120	723
121	702
122	706
123	698
124	709
125	714
126	667
127	659
128	706
129	685
130	682
131	675
132	720
133	712
134	683
135	638
136	677
137	672
138	606
139	644
140	624
141	634
142	626
143	595
144	571
145	521
146	463
147	458
148	508
149	467
150	424
151	444
152	449
153	417
154	409
155	369
156	386
157	394
158	386
159	354
160	351
161	336
162	381
163	382
164	362
165	382
166	392
167	333
168	370
169	358
170	345
171	348
172	350
173	357
174	361
175	348
176	341
177	341
178	337
179	387
180	353
181	357
182	341
183	340
184	354
185	341
186	365
187	352
188	389
189	329
190	378
191	351
192	336
193	400
194	387
195	355
196	344
197	333
198	369
199	317
200	392
201	411
202	343
203	363
204	412
205	391
206	361
207	335
208	392
209	345
210	378
211	372
212	384
213	382
214	384
215	376
216	369
217	382
218	371
219	363
220	378
221	400
222	408
223	394
224	375
225	406
226	374
227	385
228	382
229	409
230	413
231	370
232	389
233	389
234	376
235	417
236	354
237	378
238	362
239	317
240	312
241	307
242	311
243	311
244	315
245	298
246	291
247	262
248	233
249	258
250	233
251	229
252	221
253	219
254	201
255	177
256	169
257	165
258	188
259	169
260	162
261	176
262	165
263	166
264	172
265	187
266	186
267	168
268	188
269	172
270	187
271	148
272	178
273	167
274	183
275	202
276	186
277	158
278	171
279	159
280	156
281	163
282	166
283	185
284	160
285	158
286	134
287	163
288	146
289	181
290	151
291	179
292	136
293	158
294	171
295	141
296	166
297	165
298	149
299	162
300	125
301	130
302	155
303	126
304	158
305	159
306	141
307	136
308	134
309	135
310	140
311	138
312	143
313	142
314	134
315	144
316	135
317	138
318	132
319	125
320	154
321	141
322	157
323	126
324	140
325	150
326	147
327	154
328	156
329	140
330	165
331	149
332	160
333	164
334	129
335	125
336	165
337	165
338	172
339	149
340	144
341	156
342	160
343	156
344	168
345	157
346	190
347	168
348	180
349	162
350	164
351	200
352	172
353	151
354	149
355	163
356	204
357	184
358	162
359	170
360	171
361	173
362	150
363	175
364	165
365	181
366	143
367	145
368	131
369	142
370	132
371	129
372	130
373	122
374	136
375	97
376	131
377	98
378	91
379	102
380	103
381	111
382	92
383	95
384	107
385	89
386	82
387	78
388	83
389	80
390	76
391	52
392	79
393	49
394	69
395	61
396	59
397	48
398	49
399	66
400	67
401	50
402	44
403	36
404	52
405	43
406	57
407	48
408	44
409	36
410	39
411	49
412	41
413	45
414	39
415	40
416	34
417	48
418	48
419	33
420	53
421	30
422	37
423	36
424	53
425	40
426	37
427	30
428	44
429	33
430	29
431	50
432	33
433	29
434	26
