Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	390.76
Live Time Elapsed:	23.7
Start Time:	15/03/2017 17:10:42
Stop Time:	15/03/2017 17:17:14

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	97	185	470188	341776	36.0473	139.694

Data:
0	189813
1	15603
2	10189
3	7213
4	12159
5	27960
6	63493
7	115349
8	165297
9	185201
10	164920
11	119150
12	72895
13	39976
14	22181
15	14758
16	17502
17	14865
18	17948
19	15841
20	11912
21	12374
22	13371
23	13906
24	16902
25	137038
26	29965
27	22970
28	27644
29	34097
30	40342
31	44628
32	47586
33	46059
34	40692
35	33345
36	25297
37	18166
38	12695
39	9038
40	6979
41	5936
42	5473
43	5687
44	5909
45	6205
46	6452
47	6464
48	6201
49	6097
50	5556
51	5240
52	4811
53	4379
54	4130
55	4035
56	3877
57	4084
58	4182
59	4281
60	4367
61	4503
62	4577
63	4583
64	4690
65	4593
66	4543
67	4455
68	4393
69	4466
70	4361
71	4207
72	4092
73	4015
74	3804
75	3854
76	3721
77	3473
78	3446
79	3359
80	3257
81	3253
82	3137
83	3006
84	3022
85	2865
86	2720
87	2617
88	2550
89	2585
90	2404
91	2411
92	2347
93	2243
94	2257
95	2252
96	2350
97	2352
98	2428
99	2536
100	2547
101	2680
102	2910
103	3126
104	3284
105	3542
106	3789
107	3906
108	4369
109	4557
110	4861
111	5173
112	5243
113	5750
114	5808
115	6251
116	6211
117	6529
118	6518
119	6733
120	6721
121	6673
122	7143
123	7176
124	7039
125	7333
126	7275
127	7400
128	7649
129	7991
130	8131
131	8592
132	8787
133	9419
134	9708
135	10229
136	10853
137	10966
138	11492
139	11579
140	11795
141	11864
142	11706
143	11540
144	11354
145	10812
146	10307
147	9981
148	9361
149	8632
150	8013
151	7341
152	6989
153	6323
154	5524
155	5154
156	4698
157	4193
158	3789
159	3411
160	3120
161	2876
162	2539
163	2252
164	2049
165	1846
166	1777
167	1587
168	1361
169	1284
170	1241
171	1232
172	1125
173	1048
174	950
175	931
176	885
177	843
178	809
179	747
180	695
181	667
182	638
183	587
184	532
185	521
186	474
187	448
188	380
189	343
190	298
191	292
192	251
193	250
194	224
195	197
196	180
197	154
198	146
199	145
200	112
201	125
202	117
203	104
204	104
205	88
206	102
207	91
208	76
209	90
210	101
211	91
212	96
213	76
214	78
215	74
216	68
217	69
218	68
219	66
220	65
221	69
222	56
223	71
224	74
225	64
226	57
227	61
228	57
229	55
230	71
231	44
232	62
233	58
234	49
235	60
236	51
237	45
238	55
239	46
240	59
241	53
242	52
243	65
244	51
245	57
246	56
247	60
248	57
249	54
250	55
251	46
252	60
253	52
254	57
255	66
256	43
257	50
258	42
259	43
260	49
261	55
262	48
263	47
264	51
265	47
266	42
267	29
268	40
269	55
270	47
271	46
272	46
273	38
274	38
275	46
276	37
277	42
278	49
279	34
280	33
281	33
282	36
283	36
284	27
285	43
286	21
287	41
288	38
289	42
290	23
291	42
292	27
293	29
294	30
295	30
296	29
297	30
298	34
299	22
300	32
301	20
302	25
303	27
304	32
305	24
306	31
307	34
308	28
309	31
310	26
311	43
312	23
313	16
314	20
315	18
316	23
317	16
318	25
319	20
320	20
321	29
322	32
323	21
324	21
325	22
326	22
327	21
328	21
329	24
330	29
331	18
332	17
333	19
334	18
335	22
336	23
337	18
338	16
339	16
340	18
341	22
342	21
343	17
344	14
345	14
346	18
347	12
348	24
349	21
350	21
351	22
352	16
353	23
354	17
355	15
356	19
357	11
358	16
359	19
360	15
361	13
362	16
363	16
364	15
365	15
366	14
367	19
368	15
369	15
370	12
371	15
372	17
373	12
374	14
375	12
376	11
377	11
378	6
379	19
380	11
381	13
382	13
383	13
384	16
385	16
386	9
387	17
388	17
389	10
390	13
391	14
392	13
393	12
394	12
395	21
396	13
397	12
398	16
399	10
400	17
401	15
402	17
403	12
404	9
405	10
