Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	1437.44
Live Time Elapsed:	8.89
Start Time:	15/03/2017 16:27:21
Stop Time:	15/03/2017 16:52:08

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	26	44	59133	18052	7.91102	35.3398

Data:
0	24229
1	6325
2	19402
3	52554
4	96650
5	119853
6	105373
7	67335
8	33893
9	13667
10	4922
11	1921
12	1064
13	1007
14	982
15	995
16	1317
17	1331
18	1901
19	1296
20	1119
21	1250
22	1356
23	1469
24	1932
25	5701
26	2085
27	1956
28	2160
29	2410
30	2879
31	3403
32	4139
33	4679
34	5249
35	5285
36	5070
37	4564
38	4008
39	3109
40	2508
41	1917
42	1464
43	1232
44	1016
45	983
46	899
47	904
48	803
49	888
50	885
51	844
52	781
53	806
54	814
55	870
56	787
57	718
58	727
59	765
60	759
61	733
62	652
63	649
64	663
65	677
66	640
67	664
68	604
69	625
70	589
71	589
72	584
73	564
74	618
75	588
76	586
77	582
78	543
79	540
80	564
81	542
82	515
83	518
84	553
85	487
86	487
87	510
88	497
89	506
90	482
91	489
92	427
93	436
94	430
95	427
96	436
97	392
98	406
99	393
100	354
101	385
102	373
103	354
104	359
105	336
106	366
107	343
108	321
109	339
110	304
111	315
112	323
113	331
114	305
115	331
116	305
117	275
118	286
119	311
120	305
121	286
122	288
123	271
124	285
125	252
126	297
127	276
128	265
129	260
130	294
131	268
132	235
133	252
134	250
135	243
136	232
137	219
138	248
139	237
140	219
141	235
142	234
143	215
144	214
145	244
146	201
147	208
148	226
149	217
150	195
151	222
152	193
153	182
154	201
155	212
156	215
157	214
158	183
159	204
160	183
161	181
162	174
163	194
164	189
165	235
166	182
167	201
168	174
169	184
170	177
171	188
172	184
173	189
174	183
175	185
176	193
177	173
178	190
179	169
180	167
181	193
182	190
183	205
184	186
185	161
186	200
187	203
188	172
189	168
190	187
191	180
192	218
193	184
194	184
195	187
196	184
197	191
198	179
199	192
200	181
201	169
202	181
203	166
204	179
205	197
206	142
207	164
208	185
209	153
210	174
211	171
212	173
213	149
214	139
215	148
216	150
217	141
218	130
219	153
220	166
221	138
222	119
223	160
224	131
225	134
226	118
227	130
228	130
229	130
230	131
231	128
232	143
233	122
234	136
235	141
236	131
237	135
238	120
239	141
240	137
241	134
242	125
243	134
244	110
245	105
246	115
247	145
248	139
249	133
250	112
251	128
252	129
253	117
254	136
255	143
256	97
257	139
258	118
259	111
260	109
261	114
262	117
263	104
264	118
265	116
266	101
267	107
268	102
269	108
270	117
271	117
272	101
273	98
274	88
275	105
276	95
277	117
278	104
279	96
280	116
281	94
282	112
283	99
284	97
285	104
286	118
287	98
288	100
289	95
290	94
291	92
292	103
293	91
294	78
295	95
296	102
297	115
298	108
299	94
300	99
301	110
302	94
303	103
304	73
305	105
306	95
307	82
308	86
309	96
310	118
311	103
312	78
313	86
314	96
315	89
316	83
317	110
318	88
319	109
320	106
321	79
322	87
323	85
324	87
325	88
326	101
327	80
328	86
329	97
330	90
331	91
332	90
333	85
334	97
335	80
336	69
337	83
338	93
339	89
340	102
341	82
342	78
343	87
344	80
345	68
346	79
347	73
348	77
349	79
350	77
351	90
352	77
353	84
354	77
355	72
356	84
357	72
358	81
359	81
360	64
361	73
362	83
363	87
364	65
365	72
366	79
367	72
368	63
369	82
370	70
371	71
372	60
373	66
374	58
375	60
376	70
377	67
378	49
379	80
380	64
381	70
382	59
383	60
384	50
385	62
386	49
387	70
388	62
389	72
390	60
391	69
392	65
393	58
394	56
395	53
396	64
397	70
398	64
399	66
400	63
401	48
402	63
403	64
404	58
405	64
406	62
407	54
408	58
409	66
410	77
411	49
412	50
413	63
414	53
415	62
416	65
417	79
418	59
419	60
420	54
421	74
422	70
423	69
424	75
425	70
426	64
427	69
428	63
429	61
430	64
431	72
432	64
433	69
434	63
435	84
436	74
437	55
