Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	695.16
Live Time Elapsed:	4.34
Start Time:	15/03/2017 17:21:31
Stop Time:	15/03/2017 17:33:30

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	9	89	147874	116041	11.2115	49.4771

Data:
0	9504
1	1287
2	765
3	384
4	338
5	375
6	441
7	593
8	600
9	556
10	568
11	588
12	659
13	830
14	799
15	591
16	690
17	667
18	791
19	772
20	469
21	534
22	628
23	742
24	809
25	2537
26	1678
27	1267
28	1390
29	1421
30	1504
31	1494
32	1575
33	1651
34	1599
35	1647
36	1650
37	1665
38	1662
39	1707
40	1769
41	1981
42	2611
43	3268
44	4312
45	5539
46	6693
47	7751
48	8783
49	9171
50	9168
51	8704
52	7787
53	6595
54	5382
55	4246
56	3284
57	2508
58	1850
59	1401
60	1018
61	790
62	615
63	501
64	399
65	334
66	330
67	300
68	282
69	313
70	292
71	293
72	281
73	257
74	271
75	290
76	258
77	247
78	242
79	265
80	234
81	253
82	237
83	264
84	227
85	233
86	230
87	242
88	221
89	212
90	201
91	217
92	185
93	198
94	168
95	176
96	181
97	195
98	165
99	174
100	184
101	203
102	171
103	172
104	174
105	153
106	169
107	149
108	148
109	157
110	143
111	132
112	124
113	130
114	159
115	124
116	127
117	142
118	147
119	132
120	151
121	121
122	119
123	126
124	113
125	127
126	128
127	134
128	135
129	110
130	117
131	112
132	118
133	116
134	117
135	104
136	115
137	119
138	110
139	121
140	110
141	111
142	99
143	100
144	96
145	104
146	90
147	108
148	102
149	94
150	101
151	91
152	92
153	94
154	104
155	87
156	89
157	86
158	93
159	88
160	93
161	107
162	70
163	93
164	84
165	90
166	75
167	92
168	89
169	87
170	80
171	74
172	85
173	81
174	72
175	80
176	69
177	72
178	73
179	83
180	92
181	82
182	82
183	74
184	89
185	71
186	88
187	85
188	68
189	93
190	74
191	84
192	87
193	75
194	80
195	93
196	82
197	94
198	88
199	89
200	93
201	77
202	65
203	65
204	69
205	69
206	72
207	77
208	85
209	61
210	77
211	70
212	68
213	65
214	55
215	65
216	83
217	61
218	62
219	60
220	58
221	54
222	62
223	67
224	59
225	65
226	62
227	56
228	50
229	70
230	48
231	62
232	73
233	62
234	68
235	59
236	43
237	50
238	59
239	71
240	55
241	42
242	63
243	56
244	54
245	55
246	60
247	54
248	49
249	56
250	69
251	62
252	64
253	66
254	62
255	64
256	54
257	52
258	66
259	53
260	66
261	58
262	57
263	51
264	55
265	44
266	45
267	45
268	53
269	45
270	51
271	60
272	46
273	52
274	37
275	44
276	47
277	34
278	33
279	39
280	38
281	34
282	37
283	43
284	40
285	46
286	38
287	57
288	35
289	38
290	44
291	31
292	46
293	37
294	34
295	35
296	29
297	38
298	38
299	37
300	46
301	37
302	48
303	33
304	39
305	52
306	36
307	47
308	33
309	43
310	43
311	39
312	28
313	33
314	36
315	44
316	39
317	44
318	43
319	41
320	42
321	40
322	35
323	34
324	28
325	35
326	31
327	30
328	35
329	41
330	40
331	41
332	44
333	37
334	38
335	36
336	30
337	33
338	39
339	35
340	30
341	30
342	29
343	37
344	35
345	37
346	33
347	37
348	33
349	26
350	25
351	39
352	30
353	32
354	33
355	28
356	26
357	29
358	26
359	27
360	38
361	34
362	27
363	27
364	21
365	25
366	34
367	23
368	30
369	33
370	24
371	33
372	33
373	31
374	25
375	37
376	30
377	30
378	27
379	29
380	18
381	23
382	24
383	23
384	18
385	21
386	25
387	23
388	21
389	26
390	25
391	25
392	21
393	25
394	23
395	30
396	25
397	22
398	24
399	25
400	26
401	20
402	21
403	29
404	23
405	25
406	18
407	26
408	24
409	25
410	26
411	24
412	24
413	19
414	24
415	12
416	24
417	21
418	23
419	36
420	29
421	24
422	27
423	22
424	34
425	26
426	22
427	24
428	23
429	24
430	28
431	27
432	19
433	28
434	27
435	29
436	28
437	30
438	27
