Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	706.83
Live Time Elapsed:	49.42
Start Time:	15/03/2017 16:54:47
Stop Time:	15/03/2017 17:04:33

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	54	112	366319	57110	26.8961	82.1557
1	212	296	483228	424706	31.8909	253.832

Data:
0	280332
1	24609
2	13443
3	7241
4	8009
5	10567
6	16393
7	26196
8	38341
9	47184
10	47701
11	39786
12	29603
13	20650
14	14878
15	12082
16	14235
17	12486
18	17031
19	10165
20	5816
21	6247
22	6434
23	6778
24	23489
25	106489
26	14610
27	8778
28	8141
29	7827
30	7456
31	7059
32	6940
33	6562
34	6061
35	5719
36	5721
37	5416
38	5486
39	5317
40	5330
41	5256
42	5324
43	5357
44	5242
45	5067
46	5219
47	5261
48	5327
49	5277
50	5387
51	5386
52	5217
53	5256
54	5188
55	5353
56	5277
57	5393
58	5221
59	5391
60	5334
61	5330
62	5385
63	5435
64	5503
65	5640
66	5567
67	5900
68	5980
69	6088
70	6281
71	6413
72	6554
73	6617
74	6824
75	7012
76	7225
77	7339
78	7455
79	7267
80	7369
81	7273
82	7353
83	7465
84	7284
85	7242
86	7074
87	6949
88	6853
89	7069
90	6762
91	6752
92	6680
93	6578
94	6508
95	6289
96	6271
97	6121
98	6079
99	6035
100	6017
101	6068
102	5940
103	5814
104	5942
105	5687
106	5592
107	5550
108	5402
109	5441
110	5384
111	5323
112	5181
113	5144
114	5405
115	5050
116	5051
117	5128
118	4927
119	4915
120	4835
121	4818
122	4839
123	4827
124	4728
125	4830
126	4745
127	4603
128	4666
129	4607
130	4553
131	4676
132	4586
133	4594
134	4476
135	4563
136	4592
137	4512
138	4492
139	4449
140	4338
141	4320
142	4477
143	4350
144	4388
145	4374
146	4268
147	4359
148	4326
149	4223
150	4208
151	4243
152	4139
153	4275
154	4208
155	4238
156	4143
157	4190
158	4183
159	4207
160	4227
161	4158
162	4224
163	3972
164	4193
165	4013
166	4167
167	4196
168	4131
169	4135
170	4147
171	4101
172	4194
173	4067
174	4096
175	4174
176	4027
177	3949
178	3965
179	3875
180	3663
181	3469
182	3485
183	3378
184	3278
185	3223
186	2941
187	2805
188	2602
189	2568
190	2304
191	2258
192	2137
193	2003
194	1874
195	1771
196	1657
197	1631
198	1552
199	1398
200	1382
201	1310
202	1312
203	1299
204	1297
205	1191
206	1284
207	1170
208	1152
209	1294
210	1231
211	1197
212	1290
213	1323
214	1368
215	1449
216	1540
217	1624
218	1671
219	1809
220	1860
221	1981
222	2201
223	2363
224	2531
225	2844
226	2986
227	3187
228	3425
229	3738
230	4114
231	4340
232	4795
233	5119
234	5569
235	5985
236	6510
237	6808
238	7422
239	8024
240	8448
241	8917
242	9271
243	10106
244	10570
245	11133
246	11592
247	12073
248	12467
249	12961
250	13122
251	13576
252	13640
253	13805
254	13923
255	13784
256	13653
257	13441
258	13308
259	12846
260	12471
261	11917
262	11418
263	10802
264	10322
265	9721
266	8855
267	8238
268	7630
269	6788
270	6075
271	5374
272	4985
273	4210
274	3736
275	3233
276	2715
277	2464
278	2018
279	1651
280	1419
281	1149
282	1019
283	825
284	656
285	576
286	451
287	360
288	313
289	259
290	222
291	197
292	161
293	143
294	125
295	120
296	98
297	103
298	71
299	83
300	89
301	89
302	84
303	82
304	78
305	87
306	67
307	83
308	61
309	82
310	96
311	75
312	98
313	89
314	73
315	81
316	75
317	75
318	77
319	76
320	80
321	71
322	64
323	73
324	93
325	82
326	71
327	62
328	73
329	70
330	75
331	75
332	45
333	74
334	90
335	77
336	85
337	78
338	71
339	60
340	80
341	45
342	58
343	68
344	61
345	60
346	60
347	75
348	75
349	61
350	77
351	71
352	60
353	51
354	58
355	62
356	60
357	47
358	56
359	64
360	56
361	53
362	49
363	54
364	49
365	48
366	38
367	38
368	50
369	62
370	50
371	63
372	64
