Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	MCS
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	29.9%
LLD:	20.6%
Dwell Time:	10 sec
Calibration Coefficients:	23.1138	2.1964	0.000895289
Channels used to calibrate:	205	477	637
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	0
Live Time Elapsed:	0
Start Time:	30/03/2017 10:29:17
Stop Time:	30/03/2017 13:20:26

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	-1	-1	0	0	0	0

Data:
0	2685
1	2716
2	2764
3	2653
4	2728
5	2740
6	2805
7	2676
8	2758
9	2706
10	2803
11	2705
12	2717
13	2750
14	2756
15	2685
16	2795
17	2620
18	2700
19	2722
20	2759
21	2764
22	2685
23	2724
24	2713
25	2726
26	2718
27	2770
28	2900
29	2673
30	2682
31	2744
32	2676
33	2765
34	2708
35	2695
36	2612
37	2665
38	2715
39	2643
40	2752
41	2749
42	2718
43	2787
44	2675
45	2658
46	2773
47	2718
48	2648
49	2708
50	2716
51	2724
52	2745
53	2684
54	2729
55	2699
56	2785
57	2848
58	2673
59	2806
60	2714
61	2694
62	2621
63	2726
64	2688
65	2721
66	2625
67	2666
68	2724
69	2713
70	2824
71	2797
72	2772
73	2719
74	2753
75	2770
76	2672
77	2808
78	2669
79	2691
80	2859
81	2783
82	2727
83	2655
84	2742
85	2780
86	2714
87	2725
88	2717
89	2757
90	2745
91	2747
92	2764
93	2660
94	2730
95	2602
96	2756
97	2698
98	2707
99	2656
100	2629
101	2737
102	2807
103	2835
104	2624
105	2778
106	2679
107	2785
108	2674
109	2764
110	2739
111	2729
112	2753
113	2685
114	2710
115	2821
116	2773
117	2677
118	2737
119	2632
120	2702
121	2665
122	2761
123	2797
124	2661
125	2705
126	2831
127	2776
128	2634
129	2802
130	2632
131	2662
132	2650
133	2706
134	2592
135	2608
136	2776
137	2706
138	2713
139	2730
140	2693
141	2640
142	2717
143	2767
144	2757
145	2597
146	2695
147	2617
148	2787
149	2667
150	2803
151	2636
152	2722
153	2772
154	2721
155	2655
156	2695
157	2620
158	2755
159	2767
160	2777
161	2746
162	2733
163	2706
164	2644
165	2699
166	2770
167	2722
168	2807
169	2750
170	2682
171	2694
172	2699
173	2745
174	2815
175	2749
176	2715
177	2787
178	2678
179	2731
180	2719
181	2806
182	2736
183	2731
184	2794
185	2726
186	2691
187	2707
188	2609
189	2644
190	2842
191	2763
192	2719
193	2739
194	2779
195	2713
196	2760
197	2771
198	2666
199	2666
200	2698
201	2790
202	2653
203	2618
204	2702
205	2670
206	2747
207	2750
208	2854
209	2702
210	2656
211	2732
212	2735
213	2670
214	2635
215	2662
216	2692
217	2818
218	2843
219	2701
220	2767
221	2692
222	2704
223	2763
224	2690
225	2716
226	2729
227	2701
228	2781
229	2861
230	2667
231	2556
232	2671
233	2688
234	2731
235	2694
236	2738
237	2623
238	2678
239	2707
240	2640
241	2797
242	2657
243	2842
244	2644
245	2709
246	2676
247	2746
248	2862
249	2680
250	2644
251	2758
252	2784
253	2678
254	2670
255	2673
256	2799
257	2675
258	2734
259	2737
260	2785
261	2726
262	2756
263	2729
264	2706
265	2667
266	2722
267	2763
268	2711
269	2730
270	2742
271	2707
272	2658
273	2804
274	2768
275	2795
276	2705
277	2669
278	2760
279	2759
280	2725
281	2699
282	2784
283	2620
284	2781
285	2740
286	2740
287	2752
288	2750
289	2741
290	2758
291	2643
292	2734
293	2698
294	2694
295	2774
296	2735
297	2660
298	2709
299	2684
300	2766
301	2743
302	2741
303	2755
304	2724
305	2821
306	2724
307	2693
308	2726
309	2747
310	2701
311	2721
312	2724
313	2695
314	2756
315	2668
316	2745
317	2772
318	2709
319	2733
320	2710
321	2767
322	2744
323	2678
324	2786
325	2663
326	2645
327	2707
328	2725
329	2686
330	2727
331	2645
332	2719
333	2717
334	2654
335	2806
336	2800
337	2737
338	2672
339	2684
340	2660
341	2672
342	2755
343	2700
344	2770
345	2729
346	2705
347	2800
348	2785
349	2720
350	2717
351	2725
352	2682
353	2792
354	2766
355	2718
356	2748
357	2694
358	2670
