Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	149.23
Live Time Elapsed:	9.46
Start Time:	22/03/2017 14:27:03
Stop Time:	22/03/2017 14:29:32

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	58	102	58009	8337	23.1497	79.4496
1	212	294	95165	83559	31.2122	252.743

Data:
0	55487
1	5141
2	2749
3	1460
4	1628
5	2117
6	3388
7	5400
8	7761
9	9220
10	9351
11	7643
12	5661
13	4061
14	2686
15	3047
16	2708
17	3062
18	2897
19	1213
20	1209
21	1242
22	1311
23	2058
24	22212
25	4956
26	2048
27	1851
28	1807
29	1731
30	1684
31	1572
32	1486
33	1389
34	1282
35	1304
36	1113
37	1121
38	1067
39	1093
40	1119
41	1070
42	1081
43	962
44	1062
45	1107
46	1041
47	1088
48	1030
49	1098
50	1013
51	1028
52	1087
53	1063
54	1054
55	1006
56	1051
57	1054
58	983
59	1085
60	994
61	1046
62	1054
63	1076
64	1103
65	1165
66	1074
67	1166
68	1230
69	1211
70	1352
71	1278
72	1367
73	1380
74	1383
75	1437
76	1477
77	1457
78	1454
79	1481
80	1523
81	1471
82	1459
83	1500
84	1440
85	1367
86	1455
87	1428
88	1347
89	1373
90	1323
91	1351
92	1297
93	1345
94	1328
95	1211
96	1252
97	1301
98	1170
99	1216
100	1260
101	1163
102	1176
103	1162
104	1167
105	1144
106	1208
107	1056
108	1108
109	1109
110	1056
111	1134
112	1065
113	1053
114	1053
115	1047
116	994
117	986
118	1005
119	1024
120	1045
121	1011
122	1011
123	988
124	928
125	946
126	948
127	941
128	935
129	931
130	922
131	956
132	912
133	940
134	956
135	963
136	956
137	969
138	909
139	875
140	914
141	915
142	916
143	886
144	917
145	910
146	931
147	827
148	858
149	829
150	877
151	852
152	870
153	840
154	889
155	858
156	819
157	863
158	837
159	813
160	808
161	834
162	824
163	785
164	820
165	785
166	822
167	862
168	831
169	839
170	810
171	808
172	844
173	822
174	781
175	804
176	814
177	786
178	783
179	771
180	737
181	699
182	653
183	603
184	612
185	581
186	570
187	530
188	516
189	495
190	438
191	435
192	395
193	371
194	378
195	344
196	331
197	308
198	298
199	270
200	240
201	302
202	282
203	248
204	268
205	241
206	247
207	223
208	251
209	272
210	240
211	250
212	257
213	271
214	276
215	304
216	317
217	360
218	358
219	396
220	371
221	423
222	492
223	482
224	561
225	597
226	619
227	697
228	773
229	816
230	865
231	929
232	990
233	1147
234	1200
235	1242
236	1393
237	1425
238	1622
239	1639
240	1715
241	1909
242	2009
243	2171
244	2196
245	2311
246	2369
247	2508
248	2617
249	2550
250	2669
251	2737
252	2794
253	2716
254	2759
255	2686
256	2757
257	2633
258	2545
259	2410
260	2426
261	2288
262	2179
263	1969
264	1789
265	1783
266	1631
267	1487
268	1254
269	1145
270	1010
271	945
272	855
273	746
274	628
275	536
276	431
277	387
278	338
279	259
280	220
281	191
282	152
283	114
284	109
285	65
286	76
287	70
288	35
289	30
290	35
291	33
292	21
293	18
294	27
295	16
296	15
297	22
298	18
299	17
300	21
301	19
302	19
303	14
304	18
305	13
306	20
307	20
308	18
309	19
310	15
311	15
312	17
313	9
314	12
315	17
316	20
317	9
318	20
319	18
320	15
321	13
322	15
323	4
324	15
325	17
326	11
327	10
328	13
329	13
330	13
331	10
332	12
333	11
334	18
335	13
336	8
337	13
338	14
339	11
340	5
341	17
342	20
343	12
344	14
345	13
346	12
347	9
348	8
349	12
350	12
351	8
352	10
353	8
354	7
355	5
356	15
357	4
358	8
359	6
360	10
361	11
362	9
363	8
364	11
365	11
366	6
367	7
368	11
369	7
370	9
371	9
372	10
373	9
374	14
375	6
376	5
377	5
378	7
379	11
380	8
381	9
382	8
383	12
384	8
385	8
386	6
387	10
388	14
389	4
390	10
391	7
392	5
393	11
394	11
395	14
396	7
397	2
398	11
399	7
400	5
401	7
402	5
403	10
404	8
