Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	424.59
Live Time Elapsed:	9.54
Start Time:	15/03/2017 17:53:58
Stop Time:	15/03/2017 17:59:37

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	60	104	47227	5017	23.1773	81.505
1	213	297	72033	59141	31.9233	253.777
2	378	458	3493	1711	29.3627	414.162

Data:
0	47507
1	3337
2	2008
3	1167
4	1257
5	1519
6	2322
7	3732
8	5453
9	6685
10	7039
11	5985
12	4444
13	3237
14	2333
15	1816
16	2310
17	2072
18	2722
19	2505
20	1067
21	1056
22	1152
23	1187
24	1372
25	13715
26	5106
27	1652
28	1457
29	1400
30	1473
31	1341
32	1282
33	1201
34	1125
35	1087
36	1041
37	960
38	983
39	957
40	971
41	955
42	990
43	993
44	886
45	928
46	994
47	951
48	977
49	963
50	929
51	924
52	933
53	950
54	938
55	960
56	962
57	942
58	932
59	906
60	926
61	892
62	909
63	919
64	967
65	981
66	964
67	1026
68	961
69	995
70	1048
71	1044
72	1045
73	1048
74	1115
75	1149
76	1128
77	1077
78	1146
79	1187
80	1118
81	1168
82	1127
83	1193
84	1096
85	1123
86	1175
87	1083
88	1103
89	1094
90	1166
91	1084
92	1048
93	1028
94	1046
95	1054
96	1067
97	1050
98	1012
99	959
100	1054
101	921
102	981
103	973
104	977
105	954
106	912
107	928
108	918
109	895
110	905
111	888
112	846
113	904
114	877
115	823
116	861
117	856
118	871
119	817
120	764
121	787
122	829
123	773
124	764
125	833
126	770
127	790
128	789
129	784
130	734
131	773
132	720
133	717
134	770
135	738
136	742
137	718
138	712
139	677
140	720
141	719
142	735
143	735
144	701
145	666
146	664
147	664
148	664
149	741
150	665
151	708
152	672
153	696
154	684
155	624
156	676
157	666
158	652
159	663
160	689
161	669
162	656
163	660
164	654
165	654
166	650
167	639
168	608
169	650
170	667
171	653
172	649
173	604
174	650
175	662
176	626
177	592
178	608
179	606
180	584
181	574
182	543
183	536
184	513
185	513
186	503
187	482
188	473
189	439
190	432
191	408
192	372
193	366
194	374
195	348
196	324
197	295
198	296
199	295
200	244
201	264
202	244
203	224
204	237
205	240
206	270
207	218
208	224
209	262
210	228
211	247
212	254
213	242
214	254
215	245
216	260
217	290
218	296
219	315
220	297
221	368
222	326
223	365
224	411
225	452
226	505
227	497
228	520
229	567
230	643
231	686
232	683
233	739
234	877
235	866
236	968
237	989
238	1114
239	1166
240	1252
241	1319
242	1436
243	1485
244	1528
245	1631
246	1741
247	1818
248	1808
249	1831
250	1885
251	1937
252	2013
253	1947
254	2056
255	2011
256	2030
257	1955
258	1935
259	1894
260	1784
261	1718
262	1706
263	1490
264	1495
265	1416
266	1319
267	1210
268	1118
269	1015
270	911
271	737
272	779
273	626
274	553
275	537
276	448
277	357
278	306
279	260
280	255
281	207
282	177
283	159
284	127
285	121
286	81
287	85
288	63
289	68
290	82
291	49
292	51
293	52
294	64
295	47
296	51
297	56
298	53
299	54
300	50
301	46
302	56
303	51
304	37
305	40
306	59
307	47
308	44
309	45
310	58
311	46
312	58
313	44
314	40
315	45
316	49
317	49
318	45
319	54
320	57
321	36
322	55
323	49
324	57
325	43
326	44
327	45
328	53
329	55
330	35
331	43
332	40
333	51
334	66
335	31
336	41
337	51
338	43
339	48
340	35
341	49
342	40
343	47
344	43
345	46
346	46
347	31
348	23
349	37
350	35
351	27
352	32
353	28
354	26
355	35
356	32
357	36
358	22
359	23
360	30
361	38
362	24
363	30
364	22
365	27
366	23
367	23
368	29
369	27
370	27
371	22
372	38
373	36
374	23
375	31
376	28
377	29
378	37
379	33
380	37
381	29
382	24
383	40
384	36
385	50
386	41
387	42
388	50
389	43
390	45
391	46
392	63
393	41
394	44
395	60
396	58
397	50
398	63
399	49
400	59
401	63
402	58
403	60
404	64
405	59
406	73
407	60
408	83
409	67
410	68
411	58
412	88
413	63
