Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	MCS
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	30.2%
LLD:	20.5%
Dwell Time:	400 ms
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	0
Live Time Elapsed:	0
Start Time:	22/03/2017 17:37:33
Stop Time:	22/03/2017 17:44:23

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	122
1	105
2	109
3	118
4	136
5	97
6	106
7	111
8	133
9	101
10	116
11	105
12	139
13	127
14	109
15	120
16	127
17	97
18	124
19	119
20	123
21	112
22	103
23	115
24	132
25	132
26	104
27	114
28	129
29	105
30	116
31	123
32	133
33	138
34	97
35	104
36	111
37	120
38	117
39	114
40	120
41	113
42	127
43	129
44	131
45	129
46	148
47	102
48	98
49	102
50	120
51	118
52	128
53	117
54	122
55	105
56	120
57	116
58	125
59	99
60	116
61	118
62	101
63	119
64	115
65	117
66	120
67	138
68	129
69	104
70	140
71	108
72	114
73	131
74	126
75	138
76	125
77	127
78	95
79	115
80	119
81	114
82	132
83	139
84	135
85	122
86	115
87	137
88	117
89	119
90	126
91	117
92	110
93	125
94	103
95	112
96	100
97	98
98	119
99	107
100	123
101	114
102	123
103	121
104	113
105	92
106	118
107	113
108	124
109	124
110	124
111	127
112	112
113	114
114	106
115	128
116	118
117	126
118	129
119	100
120	138
121	112
122	129
123	125
124	111
125	130
126	118
127	110
128	133
129	126
130	138
131	114
132	121
133	105
134	100
135	131
136	130
137	105
138	129
139	122
140	120
141	125
142	137
143	114
144	87
145	118
146	120
147	121
148	106
149	134
150	125
151	127
152	111
153	115
154	109
155	116
156	109
157	125
158	110
159	108
160	149
161	119
162	102
163	110
164	118
165	125
166	117
167	120
168	100
169	112
170	129
171	116
172	131
173	110
174	113
175	120
176	110
177	121
178	106
179	121
180	120
181	125
182	126
183	101
184	111
185	129
186	117
187	134
188	121
189	112
190	128
191	134
192	142
193	97
194	122
195	114
196	106
197	118
198	109
199	111
200	110
201	100
202	108
203	111
204	130
205	128
206	125
207	116
208	117
209	141
210	124
211	114
212	153
213	121
214	107
215	109
216	119
217	132
218	117
219	120
220	108
221	131
222	117
223	122
224	119
225	124
226	102
227	130
228	130
229	124
230	120
231	126
232	133
233	121
234	103
235	133
236	100
237	113
238	116
239	115
240	125
241	129
242	115
243	118
244	120
245	105
246	106
247	115
248	146
249	126
250	111
251	121
252	121
253	117
254	158
255	124
256	123
257	121
258	121
259	110
260	123
261	105
262	124
263	113
264	129
265	121
266	121
267	121
268	108
269	103
270	112
271	137
272	123
273	111
274	102
275	116
276	121
277	139
278	132
279	112
280	124
281	130
282	110
283	115
284	110
285	131
286	122
287	104
288	122
289	118
290	116
291	138
292	110
293	117
294	131
295	118
296	105
297	130
298	115
299	132
300	130
301	117
302	99
303	101
304	117
305	110
306	155
307	112
308	131
309	119
310	112
311	112
312	137
313	123
314	114
315	130
316	92
317	123
318	127
319	100
320	110
321	112
322	131
323	103
324	120
325	110
326	111
327	108
328	124
329	125
330	111
331	111
332	123
333	137
334	133
335	101
336	111
337	120
338	107
339	120
340	122
341	101
342	123
343	102
344	126
345	140
346	120
347	126
348	126
349	107
350	142
351	98
352	128
353	128
354	130
355	115
356	111
357	114
358	133
359	121
360	121
361	105
362	124
363	115
364	113
365	104
366	127
367	120
368	98
369	110
370	112
371	122
372	149
373	110
374	119
375	127
376	115
377	132
378	106
379	128
380	131
381	113
382	110
383	140
384	114
385	147
386	119
387	124
388	127
389	117
390	111
391	105
392	109
393	132
394	111
395	118
396	122
397	125
398	116
399	131
400	100
401	101
402	126
403	107
404	134
405	142
406	124
407	97
408	125
409	112
410	133
411	125
412	141
413	126
414	106
415	150
416	105
417	103
418	128
419	124
420	123
421	129
422	114
423	112
424	128
425	113
426	121
427	124
428	129
429	124
430	132
431	124
432	103
433	118
434	123
435	133
436	119
437	109
438	123
439	116
440	137
441	117
442	143
443	123
444	125
445	132
446	110
447	132
448	137
449	106
450	119
451	120
452	133
