Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	MCS
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	29.5%
LLD:	20.7%
Dwell Time:	4 sec
Calibration Coefficients:	23.1138	2.1964	0.000895289
Channels used to calibrate:	205	477	637
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	0
Live Time Elapsed:	0
Start Time:	29/03/2017 17:12:10
Stop Time:	29/03/2017 18:20:28

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	1006
1	1025
2	1057
3	1079
4	1009
5	1022
6	1025
7	979
8	985
9	1011
10	1032
11	975
12	995
13	1046
14	1021
15	1002
16	1050
17	1004
18	995
19	1004
20	1042
21	960
22	1056
23	1033
24	1017
25	1038
26	1050
27	1042
28	1040
29	1014
30	1054
31	990
32	999
33	1010
34	1041
35	1035
36	1076
37	1096
38	1049
39	1067
40	989
41	1009
42	1000
43	1002
44	1039
45	982
46	1035
47	1041
48	983
49	936
50	1004
51	1014
52	1025
53	988
54	1036
55	1059
56	1041
57	1007
58	1051
59	1025
60	1015
61	1013
62	1021
63	991
64	1035
65	1117
66	1078
67	1016
68	1067
69	1044
70	1004
71	1042
72	1013
73	1019
74	1037
75	1026
76	1051
77	1010
78	1056
79	1002
80	1009
81	1024
82	1038
83	987
84	1062
85	1012
86	1007
87	1071
88	1030
89	1031
90	1037
91	1028
92	1051
93	1040
94	992
95	1005
96	1008
97	1023
98	1005
99	1077
100	1054
101	979
102	1083
103	996
104	1015
105	1029
106	1068
107	1050
108	1110
109	1108
110	971
111	1039
112	1005
113	983
114	1065
115	1019
116	1047
117	1024
118	1032
119	965
120	1011
121	1100
122	1015
123	970
124	1020
125	1053
126	1035
127	1051
128	1043
129	1066
130	1058
131	1017
132	1018
133	940
134	1026
135	1035
136	1008
137	981
138	1001
139	1056
140	986
141	967
142	1046
143	1031
144	1010
145	1011
146	971
147	1002
148	1017
149	997
150	1003
151	1027
152	1037
153	985
154	1068
155	1030
156	1014
157	995
158	1058
159	943
160	1016
161	1034
162	947
163	1043
164	1015
165	1042
166	1018
167	1084
168	1007
169	961
170	1022
171	1010
172	1034
173	1006
174	997
175	996
176	1010
177	1018
178	1029
179	1033
180	972
181	1084
182	1036
183	1032
184	1043
185	1037
186	1069
187	1053
188	992
189	1022
190	1003
191	1018
192	1023
193	1049
194	1040
195	1030
196	1038
197	966
198	994
199	1046
200	1004
201	1066
202	994
203	1023
204	1010
205	1028
206	974
207	1036
208	1016
209	1045
210	1012
211	1028
212	1012
213	1032
214	1035
215	1035
216	1020
217	995
218	1009
219	969
220	1034
221	1007
222	966
223	1066
224	983
225	971
226	1019
227	1048
228	1067
229	978
230	975
231	983
232	1011
233	1032
234	983
235	985
236	984
237	1000
238	992
239	1056
240	1055
241	1016
242	956
243	1004
244	1035
245	998
246	973
247	1027
248	1019
249	989
250	1046
251	1054
252	1080
253	987
254	1027
255	1004
256	1070
257	1036
258	1011
259	998
260	989
261	978
262	1031
263	1048
264	985
265	1023
266	1004
267	993
268	1032
269	1047
270	1001
271	988
272	1010
273	1010
274	1005
275	963
276	1023
277	1053
278	1056
279	987
280	1039
281	993
282	1025
283	1034
284	1036
285	1061
286	1011
287	997
288	948
289	996
290	1039
291	1054
292	1060
293	968
294	1042
295	1016
296	1023
297	986
298	1043
299	974
300	1048
301	1025
302	1012
303	927
304	1063
305	1036
306	1121
307	1015
308	955
309	1105
310	997
311	996
312	1007
313	1033
314	974
315	1050
316	952
317	1030
318	994
319	1039
320	993
321	1014
322	1059
323	980
324	1041
325	1004
326	999
327	1016
328	958
329	980
330	1040
331	1018
332	1011
333	1015
334	1049
335	969
336	1048
337	1006
338	992
339	932
340	1108
341	1021
342	1024
343	984
344	1000
345	962
346	1050
347	1008
348	1089
349	1007
350	1072
351	1025
352	1008
353	1054
354	1017
355	1043
356	1014
357	1034
358	1020
359	1121
360	980
361	1019
362	1015
363	1038
364	1012
365	971
366	988
367	1083
368	1079
369	1006
370	1018
371	969
372	998
373	1061
374	1000
375	1039
376	1033
377	1039
378	1059
379	1006
380	999
381	1080
