Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	99.7%
LLD:	0.0%
Calibration Coefficients:	23.1138	2.1964	0.000895289
Channels used to calibrate:	205	477	637
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	71262.8
Live Time Elapsed:	76.92
Start Time:	31/03/2017 09:22:23
Stop Time:	31/03/2017 09:22:01

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	-1	-1	0	0	0	0

Data:
0	13019273
1	12891922
2	1089783
3	115101
4	102543
5	107648
6	126893
7	134903
8	129617
9	118484
10	105201
11	92086
12	82413
13	82645
14	87190
15	88537
16	88542
17	85567
18	96290
19	99618
20	94892
21	94009
22	78732
23	69796
24	79047
25	90955
26	110843
27	123003
28	157996
29	218772
30	171530
31	173992
32	176236
33	170076
34	162646
35	152234
36	141222
37	131677
38	121486
39	111301
40	102674
41	92934
42	85566
43	77961
44	72636
45	67340
46	63805
47	60978
48	58687
49	57730
50	56652
51	56265
52	55392
53	54893
54	53935
55	53475
56	51946
57	50816
58	49776
59	48030
60	47157
61	46083
62	44423
63	43462
64	43225
65	42305
66	41437
67	40741
68	40351
69	39442
70	39131
71	38534
72	38520
73	38109
74	38093
75	37948
76	38172
77	38523
78	39066
79	39420
80	40062
81	41145
82	42530
83	43635
84	45166
85	46190
86	48679
87	50480
88	52512
89	55298
90	58178
91	61444
92	64069
93	66845
94	69247
95	71855
96	73167
97	74569
98	74116
99	73153
100	70729
101	68018
102	65036
103	60937
104	56925
105	52375
106	48650
107	44171
108	40938
109	37895
110	34760
111	32515
112	30846
113	29410
114	27862
115	27350
116	26465
117	25467
118	25161
119	24996
120	24569
121	23878
122	23879
123	23930
124	23848
125	23949
126	23745
127	23754
128	24238
129	24337
130	24634
131	24555
132	25056
133	25386
134	25045
135	24897
136	25094
137	24284
138	24446
139	23855
140	23401
141	22669
142	21705
143	20789
144	20342
145	19458
146	18698
147	17858
148	16984
149	16365
150	15795
151	15022
152	14655
153	14379
154	13715
155	13304
156	13190
157	12847
158	12977
159	12370
160	12367
161	12403
162	12391
163	12446
164	12267
165	12389
166	12118
167	12135
168	12034
169	12097
170	11939
171	12009
172	11901
173	11868
174	11763
175	11814
176	12080
177	11758
178	11886
179	11897
180	11972
181	11766
182	12094
183	12183
184	12205
185	12169
186	12070
187	12136
188	12302
189	11995
190	12096
191	12140
192	12170
193	12391
194	12321
195	12199
196	12134
197	12325
198	12372
199	12227
200	12132
201	12051
202	12174
203	12187
204	12109
205	12318
206	12080
207	12072
208	12142
209	12198
210	12055
211	11917
212	12126
213	12176
214	12025
215	11951
216	12229
217	12294
218	12334
219	12299
220	12326
221	12382
222	12472
223	12536
224	12616
225	12647
226	12713
227	12688
228	12837
229	12990
230	12826
231	12654
232	12602
233	12720
234	12659
235	12204
236	11945
237	11999
238	11827
239	11477
240	11024
241	10977
242	10404
243	10091
244	10099
245	9765
246	9503
247	9211
248	9037
249	8664
250	8441
251	8249
252	8182
253	7932
254	7616
255	7595
256	7493
257	7337
258	7309
259	7090
260	7125
261	7063
262	7009
263	6800
264	6977
265	6955
266	6869
267	7043
268	6913
269	6764
270	6854
271	6945
272	6802
273	6727
274	6719
275	6667
276	6707
277	6682
278	6623
279	6453
280	6631
281	6592
282	6572
283	6483
284	6496
285	6440
286	6338
287	6354
288	6342
289	6437
290	6279
291	6242
292	6208
293	6173
294	6067
295	6010
296	6035
297	5976
298	5886
299	6049
300	5809
301	5716
302	5921
303	5659
304	5635
305	5617
306	5593
307	5591
308	5504
309	5576
310	5521
311	5396
312	5279
313	5326
314	5281
315	5370
316	5297
317	5491
318	5399
319	5243
320	5470
321	5274
322	5413
323	5588
324	5333
325	5383
326	5484
327	5333
328	5492
329	5657
330	5613
331	5637
332	5719
333	5740
334	5985
335	5750
336	5931
337	5957
338	5979
339	6071
340	6315
341	6247
342	6245
343	6265
344	6374
345	6320
346	6559
347	6338
348	6495
349	6642
350	6576
351	6536
352	6732
353	6569
354	6434
355	6590
356	6533
357	6469
358	6312
