Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	1599.2
Live Time Elapsed:	15.31
Start Time:	15/03/2017 15:54:13
Stop Time:	15/03/2017 16:21:45

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	9	39	73645	28209	-1	-1
1	271	357	55994	40421	36.8498	314.447

Data:
0	55010
1	4213
2	2123
3	1084
4	1140
5	1197
6	1235
7	1287
8	1270
9	1366
10	1403
11	1439
12	1482
13	1796
14	1712
15	2338
16	2623
17	3041
18	3049
19	1409
20	1309
21	1382
22	1559
23	2350
24	11944
25	7075
26	2283
27	2150
28	2189
29	2139
30	1977
31	1927
32	1872
33	1830
34	1800
35	1757
36	1644
37	1622
38	1554
39	1624
40	1577
41	1555
42	1503
43	1528
44	1484
45	1451
46	1449
47	1404
48	1427
49	1378
50	1534
51	1433
52	1420
53	1327
54	1354
55	1265
56	1321
57	1327
58	1254
59	1317
60	1331
61	1202
62	1262
63	1267
64	1261
65	1205
66	1229
67	1258
68	1251
69	1191
70	1212
71	1196
72	1223
73	1262
74	1223
75	1269
76	1297
77	1276
78	1337
79	1283
80	1243
81	1288
82	1317
83	1231
84	1271
85	1244
86	1234
87	1233
88	1251
89	1219
90	1224
91	1177
92	1206
93	1192
94	1135
95	1083
96	1077
97	1104
98	1073
99	1060
100	1068
101	1044
102	1074
103	991
104	1034
105	1017
106	1023
107	1013
108	954
109	963
110	982
111	974
112	970
113	974
114	901
115	939
116	906
117	880
118	928
119	883
120	885
121	830
122	806
123	850
124	848
125	801
126	890
127	777
128	858
129	832
130	788
131	832
132	824
133	754
134	783
135	801
136	762
137	716
138	772
139	738
140	740
141	742
142	716
143	718
144	755
145	728
146	730
147	720
148	680
149	757
150	709
151	729
152	667
153	689
154	675
155	692
156	667
157	625
158	661
159	652
160	654
161	696
162	628
163	650
164	684
165	656
166	693
167	646
168	668
169	654
170	619
171	629
172	625
173	643
174	660
175	683
176	611
177	609
178	637
179	612
180	664
181	646
182	649
183	628
184	665
185	627
186	664
187	634
188	608
189	689
190	670
191	637
192	592
193	617
194	688
195	617
196	659
197	584
198	617
199	658
200	678
201	668
202	612
203	641
204	632
205	613
206	614
207	599
208	585
209	602
210	646
211	594
212	564
213	595
214	651
215	627
216	600
217	598
218	596
219	619
220	605
221	610
222	629
223	604
224	630
225	599
226	595
227	601
228	575
229	640
230	619
231	567
232	588
233	631
234	572
235	561
236	543
237	585
238	579
239	570
240	496
241	528
242	516
243	482
244	509
245	470
246	465
247	441
248	415
249	427
250	403
251	392
252	390
253	359
254	380
255	367
256	342
257	316
258	313
259	272
260	304
261	289
262	273
263	282
264	276
265	272
266	247
267	258
268	253
269	281
270	274
271	280
272	265
273	278
274	294
275	326
276	286
277	300
278	357
279	329
280	297
281	350
282	389
283	386
284	420
285	422
286	474
287	442
288	530
289	524
290	529
291	572
292	630
293	606
294	689
295	756
296	716
297	827
298	795
299	897
300	905
301	917
302	978
303	1042
304	1006
305	1087
306	1075
307	1186
308	1204
309	1166
310	1248
311	1216
312	1263
313	1309
314	1239
315	1322
316	1238
317	1244
318	1255
319	1224
320	1180
321	1161
322	1166
323	1134
324	1081
325	1040
326	957
327	977
328	878
329	806
330	769
331	695
332	701
333	601
334	567
335	506
336	477
337	459
338	368
339	368
340	337
341	287
342	261
343	246
344	209
345	204
346	188
347	159
348	160
349	128
350	121
351	122
352	126
353	102
354	96
355	98
356	89
357	80
358	86
359	100
360	98
361	91
362	103
363	72
364	73
365	66
366	86
367	78
368	88
369	82
370	76
371	84
372	67
373	80
374	79
375	73
376	88
377	61
378	65
379	75
380	81
381	68
382	68
383	74
384	73
385	59
386	78
387	81
388	70
389	74
390	70
391	69
392	74
393	68
394	72
395	63
396	59
397	79
398	72
399	81
400	68
401	70
402	84
403	62
404	70
405	81
406	86
407	68
408	78
409	74
410	61
411	84
