Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	1670.97
Live Time Elapsed:	15.46
Start Time:	22/03/2017 14:42:29
Stop Time:	22/03/2017 15:10:21

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	9	41	78001	31339	2.24234	24.9463
1	272	362	61738	45525	36.2985	314.493

Data:
0	58685
1	4487
2	2243
3	1284
4	1207
5	1268
6	1324
7	1306
8	1399
9	1413
10	1397
11	1411
12	1546
13	1695
14	1668
15	2066
16	2624
17	2614
18	3607
19	1924
20	1261
21	1420
22	1473
23	1577
24	5285
25	15499
26	2827
27	2136
28	2179
29	2172
30	2138
31	1973
32	1929
33	1872
34	1717
35	1674
36	1539
37	1633
38	1436
39	1470
40	1427
41	1399
42	1449
43	1415
44	1402
45	1392
46	1333
47	1430
48	1391
49	1341
50	1424
51	1409
52	1268
53	1328
54	1413
55	1311
56	1289
57	1318
58	1301
59	1292
60	1230
61	1264
62	1227
63	1226
64	1230
65	1265
66	1231
67	1227
68	1221
69	1207
70	1239
71	1306
72	1237
73	1231
74	1290
75	1288
76	1264
77	1344
78	1298
79	1335
80	1318
81	1422
82	1348
83	1407
84	1421
85	1342
86	1351
87	1366
88	1326
89	1321
90	1339
91	1303
92	1264
93	1258
94	1228
95	1191
96	1205
97	1186
98	1164
99	1194
100	1111
101	1165
102	1105
103	1132
104	1067
105	1027
106	1102
107	1057
108	1017
109	1005
110	982
111	951
112	986
113	903
114	964
115	994
116	926
117	921
118	918
119	930
120	825
121	903
122	850
123	885
124	831
125	819
126	811
127	808
128	775
129	848
130	844
131	858
132	814
133	796
134	775
135	824
136	806
137	786
138	810
139	794
140	737
141	774
142	781
143	729
144	757
145	762
146	738
147	738
148	696
149	746
150	730
151	740
152	768
153	772
154	758
155	739
156	701
157	749
158	653
159	665
160	683
161	669
162	679
163	670
164	665
165	738
166	738
167	705
168	737
169	688
170	648
171	661
172	708
173	656
174	689
175	691
176	682
177	681
178	675
179	681
180	726
181	648
182	721
183	629
184	724
185	713
186	698
187	688
188	656
189	722
190	677
191	674
192	677
193	670
194	698
195	707
196	728
197	679
198	630
199	671
200	682
201	666
202	644
203	660
204	693
205	657
206	674
207	638
208	655
209	677
210	660
211	654
212	630
213	668
214	625
215	621
216	705
217	651
218	685
219	683
220	632
221	659
222	668
223	632
224	674
225	662
226	640
227	696
228	640
229	654
230	611
231	686
232	636
233	672
234	657
235	658
236	652
237	646
238	607
239	615
240	578
241	593
242	599
243	530
244	540
245	475
246	536
247	498
248	530
249	417
250	457
251	427
252	408
253	397
254	404
255	375
256	342
257	350
258	353
259	346
260	332
261	341
262	320
263	326
264	278
265	305
266	283
267	313
268	274
269	288
270	293
271	272
272	282
273	330
274	302
275	347
276	301
277	309
278	345
279	377
280	405
281	375
282	367
283	435
284	442
285	474
286	448
287	533
288	529
289	592
290	568
291	656
292	637
293	715
294	758
295	752
296	831
297	871
298	938
299	947
300	1027
301	1049
302	1149
303	1163
304	1206
305	1204
306	1245
307	1293
308	1338
309	1361
310	1336
311	1409
312	1416
313	1435
314	1410
315	1423
316	1439
317	1404
318	1433
319	1321
320	1365
321	1368
322	1292
323	1267
324	1186
325	1177
326	1139
327	1014
328	968
329	907
330	878
331	824
332	726
333	640
334	618
335	552
336	527
337	442
338	397
339	347
340	337
341	291
342	260
343	226
344	204
345	185
346	167
347	146
348	141
349	117
350	123
351	116
352	92
353	80
354	85
355	89
356	94
357	75
358	69
359	77
360	79
361	59
362	65
363	61
364	56
365	60
366	51
367	55
368	67
369	58
370	51
371	80
372	59
373	59
374	51
375	51
376	54
377	52
378	59
379	56
380	54
381	65
382	51
383	56
384	60
385	47
386	58
387	53
388	65
389	58
390	67
391	69
392	52
393	69
394	61
395	49
396	49
397	62
398	57
399	44
400	48
401	50
402	59
403	54
404	43
405	68
406	64
407	53
408	55
