Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	-61.625	2.89205
Channels used to calibrate:	198	462
Energies used to calibrate:	511	1274.5
Real Time Elapsed:	541.94
Live Time Elapsed:	35.34
Start Time:	15/03/2017 14:51:22
Stop Time:	15/03/2017 15:00:27

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	11	39	227769	102687	-1	-1
1	54	98	181982	18520	21.4699	76.4118
2	159	237	327977	255890	27.1296	197.524
3	417	509	51192	31538	42.9525	461.602
4	595	617	1031	19	-1	-1

Data:
0	188270
1	17847
2	8546
3	4383
4	4330
5	4461
6	4651
7	4823
8	4857
9	5006
10	5135
11	5028
12	5400
13	5472
14	5478
15	7675
16	7943
17	8491
18	10524
19	4146
20	3649
21	3884
22	4111
23	4790
24	55839
25	32956
26	6399
27	5315
28	5361
29	5317
30	4877
31	4604
32	4399
33	4159
34	3973
35	3816
36	3684
37	3603
38	3419
39	3457
40	3440
41	3325
42	3401
43	3357
44	3468
45	3362
46	3436
47	3352
48	3374
49	3258
50	3425
51	3429
52	3447
53	3430
54	3494
55	3478
56	3435
57	3444
58	3557
59	3524
60	3519
61	3582
62	3710
63	3693
64	3917
65	3885
66	4038
67	4001
68	4090
69	4285
70	4272
71	4220
72	4367
73	4496
74	4365
75	4514
76	4383
77	4503
78	4428
79	4379
80	4379
81	4363
82	4385
83	4376
84	4291
85	4259
86	4094
87	4205
88	4171
89	4086
90	4111
91	4141
92	3989
93	4005
94	3947
95	4027
96	3897
97	3784
98	3893
99	3716
100	3725
101	3740
102	3654
103	3645
104	3516
105	3585
106	3453
107	3300
108	3378
109	3317
110	3374
111	3306
112	3259
113	3225
114	3195
115	3228
116	3117
117	3277
118	3153
119	3315
120	3118
121	3110
122	3101
123	2986
124	2985
125	2965
126	2823
127	2828
128	2786
129	2719
130	2660
131	2560
132	2399
133	2331
134	2162
135	2095
136	2012
137	1997
138	1887
139	1775
140	1735
141	1659
142	1594
143	1493
144	1518
145	1415
146	1332
147	1355
148	1278
149	1268
150	1245
151	1251
152	1229
153	1223
154	1211
155	1262
156	1193
157	1259
158	1223
159	1245
160	1283
161	1271
162	1378
163	1367
164	1465
165	1495
166	1494
167	1533
168	1628
169	1784
170	1916
171	2074
172	2092
173	2244
174	2541
175	2751
176	2860
177	3092
178	3570
179	3703
180	4154
181	4351
182	4737
183	5064
184	5540
185	5954
186	6631
187	6945
188	7250
189	7910
190	8028
191	8576
192	8984
193	9327
194	9623
195	9859
196	10142
197	10285
198	9919
199	10173
200	9781
201	9797
202	9610
203	9287
204	8608
205	8311
206	7740
207	7321
208	6651
209	6098
210	5456
211	4969
212	4417
213	3937
214	3434
215	3104
216	2728
217	2378
218	1998
219	1718
220	1497
221	1326
222	1156
223	1030
224	875
225	882
226	798
227	766
228	648
229	696
230	628
231	622
232	562
233	586
234	612
235	593
236	557
237	562
238	605
239	582
240	614
241	623
242	571
243	552
244	577
245	553
246	592
247	613
248	553
249	575
250	590
251	607
252	575
253	592
254	605
255	600
256	572
257	580
258	603
259	564
260	616
261	584
262	568
263	565
264	563
265	587
266	553
267	567
268	591
269	540
270	575
271	526
272	600
273	584
274	561
275	534
276	589
277	617
278	600
279	545
280	547
281	561
282	594
283	558
284	568
285	548
286	593
287	552
288	529
289	578
290	540
291	615
292	557
293	534
294	578
295	530
296	550
297	589
298	575
299	553
300	511
301	562
302	549
303	600
304	608
305	557
306	565
307	593
308	600
309	582
310	599
311	621
312	589
313	597
314	603
315	578
316	536
317	585
318	590
319	588
320	563
321	595
322	558
323	570
324	546
325	566
326	619
327	584
328	628
329	552
330	609
331	647
332	631
333	631
334	581
335	576
336	602
337	610
338	611
339	581
340	630
341	620
342	615
343	637
344	625
345	599
346	583
347	667
348	649
349	631
350	566
351	595
352	600
353	606
354	636
355	617
356	555
357	618
358	621
359	580
360	548
361	617
362	599
363	651
364	569
365	558
366	528
367	630
368	648
369	591
370	625
371	633
372	615
373	544
374	640
375	606
376	607
