Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.0%
Calibration Coefficients:	23.1138	2.1964	0.000895289
Channels used to calibrate:	205	477	637
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	714.48
Live Time Elapsed:	11.39
Start Time:	29/03/2017 14:39:43
Stop Time:	29/03/2017 14:44:27

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	52	100	0	0	0	0
1	163	247	0	0	0	0
2	350	426	0	0	0	0
3	432	514	0	0	0	0
4	610	662	0	0	0	0

Data:
0	3827510
1	6978416
2	3799622
3	7489
4	7566
5	7688
6	8015
7	7531
8	7452
9	7357
10	7079
11	6674
12	6905
13	6900
14	6771
15	8208
16	9224
17	8819
18	8960
19	5886
20	3897
21	3909
22	4130
23	4423
24	7133
25	21841
26	15421
27	6384
28	5961
29	5677
30	5490
31	5227
32	5032
33	4795
34	4615
35	4247
36	4047
37	3907
38	3788
39	3816
40	3783
41	3646
42	3673
43	3619
44	3703
45	3649
46	3702
47	3680
48	3605
49	3742
50	3681
51	3652
52	3641
53	3840
54	3776
55	3603
56	3745
57	3811
58	3724
59	3658
60	3787
61	3643
62	3737
63	3881
64	3978
65	3918
66	4229
67	4204
68	4240
69	4403
70	4538
71	4536
72	4902
73	4709
74	4784
75	5002
76	5003
77	4960
78	4968
79	5006
80	4911
81	5047
82	4876
83	4845
84	4758
85	4874
86	4886
87	4672
88	4721
89	4653
90	4545
91	4599
92	4526
93	4540
94	4396
95	4308
96	4283
97	4255
98	4331
99	4042
100	4163
101	4201
102	4095
103	3976
104	3862
105	3892
106	3850
107	3870
108	3874
109	3589
110	3705
111	3630
112	3616
113	3540
114	3605
115	3559
116	3487
117	3368
118	3369
119	3464
120	3245
121	3477
122	3354
123	3301
124	3187
125	3350
126	3310
127	3167
128	3162
129	3227
130	3132
131	3011
132	2999
133	2907
134	2836
135	2753
136	2590
137	2579
138	2478
139	2272
140	2278
141	2096
142	1958
143	1911
144	1801
145	1737
146	1710
147	1572
148	1484
149	1517
150	1498
151	1336
152	1352
153	1304
154	1272
155	1268
156	1157
157	1216
158	1205
159	1239
160	1210
161	1227
162	1300
163	1294
164	1258
165	1318
166	1323
167	1323
168	1350
169	1415
170	1496
171	1557
172	1638
173	1591
174	1739
175	1934
176	1922
177	2051
178	2310
179	2432
180	2563
181	2759
182	2990
183	3156
184	3585
185	3801
186	4222
187	4629
188	4886
189	5278
190	5825
191	6247
192	6775
193	7347
194	7874
195	8299
196	8442
197	9008
198	9848
199	9864
200	10592
201	10838
202	11180
203	11328
204	11390
205	11346
206	11458
207	11365
208	11173
209	11063
210	10456
211	10029
212	9693
213	9019
214	8394
215	7807
216	7362
217	6652
218	6075
219	5429
220	4711
221	4317
222	3905
223	3219
224	2939
225	2435
226	2187
227	1897
228	1654
229	1478
230	1267
231	1097
232	1028
233	932
234	848
235	791
236	744
237	716
238	671
239	664
240	606
241	604
242	565
243	611
244	639
245	589
246	609
247	582
248	564
249	597
250	640
251	578
252	589
253	552
254	581
255	600
256	568
257	587
258	620
259	577
260	615
261	598
262	602
263	633
264	587
265	559
266	603
267	682
268	594
269	618
270	626
271	626
272	639
273	653
274	628
275	605
276	589
277	632
278	630
279	664
280	611
281	626
282	587
283	632
284	609
285	635
286	620
287	638
288	631
289	637
290	626
291	591
292	569
293	586
294	617
295	633
296	608
297	580
298	627
299	653
300	571
301	620
302	566
303	615
304	616
305	610
306	628
307	583
308	632
309	593
310	650
311	570
312	600
313	601
314	618
315	625
316	639
317	625
318	614
319	620
320	638
321	634
322	617
323	624
324	605
325	644
326	631
327	648
328	639
329	699
330	593
331	605
332	655
333	660
334	678
335	571
336	673
337	631
338	628
339	611
340	655
341	671
342	663
343	622
344	646
345	632
346	619
347	607
348	649
349	625
350	673
351	638
352	619
353	660
354	647
355	652
356	635
357	700
358	668
359	631
360	665
361	631
362	679
363	682
364	635
365	656
366	673
367	623
368	606
369	631
370	631
371	660
372	663
373	690
374	617
375	618
376	648
377	666
