Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	971.08
Live Time Elapsed:	63.45
Start Time:	15/03/2017 15:28:20
Stop Time:	15/03/2017 15:44:34

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid

Data:
0	319308
1	29323
2	14900
3	7693
4	7526
5	7863
6	8238
7	8605
8	8632
9	8699
10	8866
11	8993
12	9244
13	9753
14	9694
15	12061
16	14432
17	14192
18	19122
19	8807
20	6501
21	6836
22	7251
23	8285
24	57775
25	99743
26	13361
27	9837
28	9417
29	9376
30	8948
31	8346
32	7821
33	7461
34	7111
35	6633
36	6486
37	6434
38	6220
39	6100
40	6033
41	5868
42	6098
43	5855
44	6131
45	6090
46	6079
47	5919
48	5969
49	6171
50	6025
51	6022
52	6048
53	5934
54	6101
55	6187
56	6233
57	6152
58	6193
59	6185
60	6219
61	6366
62	6377
63	6416
64	6688
65	6808
66	6998
67	7164
68	7265
69	7322
70	7395
71	7651
72	7782
73	7838
74	7890
75	7810
76	7612
77	7854
78	7741
79	7746
80	7620
81	7576
82	7667
83	7609
84	7689
85	7703
86	7499
87	7483
88	7388
89	7476
90	7260
91	7368
92	7214
93	7112
94	7043
95	6895
96	6898
97	6684
98	6721
99	6808
100	6677
101	6479
102	6620
103	6336
104	6175
105	6189
106	6247
107	6168
108	6043
109	5999
110	5912
111	5876
112	5878
113	5732
114	5928
115	5765
116	5739
117	5683
118	5658
119	5625
120	5503
121	5529
122	5483
123	5454
124	5324
125	5229
126	5097
127	4993
128	5064
129	4721
130	4735
131	4442
132	4396
133	4183
134	4081
135	3877
136	3749
137	3469
138	3248
139	3114
140	2965
141	2921
142	2824
143	2665
144	2576
145	2588
146	2523
147	2403
148	2283
149	2272
150	2244
151	2186
152	2107
153	2085
154	2039
155	2143
156	2126
157	2143
158	2121
159	2200
160	2175
161	2252
162	2315
163	2390
164	2520
165	2512
166	2713
167	2694
168	2902
169	2982
170	3282
171	3303
172	3773
173	3972
174	4192
175	4550
176	4840
177	5304
178	5893
179	6332
180	6839
181	7452
182	8151
183	8698
184	9533
185	10044
186	10831
187	11613
188	12559
189	13480
190	13985
191	14788
192	15374
193	16321
194	16595
195	17309
196	17619
197	17928
198	18198
199	17930
200	17948
201	17508
202	17327
203	16654
204	15965
205	15442
206	14407
207	13387
208	12509
209	11538
210	10405
211	9333
212	8586
213	7576
214	6630
215	6004
216	5059
217	4525
218	3868
219	3322
220	2903
221	2462
222	2217
223	1959
224	1748
225	1558
226	1436
227	1299
228	1217
229	1232
230	1106
231	1068
232	981
233	1039
234	974
235	977
236	1007
237	969
238	987
239	968
240	985
241	899
242	923
243	997
244	1007
245	996
246	927
247	951
248	1005
249	956
250	994
251	994
252	1000
253	951
254	956
255	961
256	990
257	1013
258	1041
259	974
260	1014
261	964
262	950
263	1027
264	1007
265	969
266	926
267	1057
268	954
269	936
270	984
271	1015
272	984
273	1002
274	1056
275	961
276	1010
277	1028
278	1043
279	1028
280	1050
281	1005
282	1002
283	993
284	1011
285	980
286	987
287	1001
288	982
289	1030
290	1026
291	1061
292	992
293	987
294	964
295	1031
296	955
297	995
298	1006
299	1035
300	1005
301	1056
302	1001
303	989
304	1029
305	960
306	1031
307	1000
308	1037
309	1027
310	1014
311	1048
312	1013
313	1039
314	1032
315	1077
316	1034
317	981
318	1029
319	996
320	1101
321	1024
322	1061
323	1116
324	1061
325	1037
326	1075
327	1063
328	1063
329	1014
330	1019
331	1119
332	1043
333	1070
334	1127
335	1024
336	1061
337	1075
338	1032
339	1095
340	1074
341	1080
342	1092
343	1087
344	1066
345	1112
346	1090
347	1062
348	1036
349	1092
350	1067
351	1082
352	1024
353	1048
354	1086
355	1053
356	1089
357	1012
358	1090
359	1074
360	1063
361	1066
362	1059
363	1076
364	1138
365	1104
366	1040
367	1102
368	1028
369	1109
370	1116
371	1044
