Spectrum Name:	
Description:	
Student ID:	
Detector Used:	
Comments:	
Acquisition Mode:	PHA Amp.
High Voltage:	650
Conversion Gain:	1024
Coarse Gain:	8
Fine Gain:	1
ULD:	100.4%
LLD:	0.2%
Calibration Coefficients:	12.4706	2.36246	0.00078468
Channels used to calibrate:	198	463	622
Energies used to calibrate:	511	1274.5	1785.5
Real Time Elapsed:	1564.86
Live Time Elapsed:	214.23
Start Time:	22/03/2017 16:48:13
Stop Time:	22/03/2017 17:14:18

ROIs:
Number	Low	High	Gross	Net	FWHM	Centroid
0	13	37	2341301	712905	-1	-1
1	64	126	2412806	703616	18.2832	94.557
2	177	269	1042157	177800	42.6634	221.967
3	316	368	294662	52602	32.6438	345.243
4	508	604	128046	24402	49.5227	561.91
5	645	785	156681	20240	52.1855	716.115

Data:
0	1224555
1	274528
2	99823
3	29620
4	29077
5	30551
6	32793
7	35052
8	35561
9	36832
10	36787
11	37404
12	39883
13	42799
14	44399
15	57081
16	65248
17	67569
18	83371
19	42406
20	32572
21	35947
22	40347
23	70725
24	286152
25	384461
26	77391
27	79280
28	85989
29	91358
30	95967
31	95533
32	97358
33	95605
34	95577
35	94067
36	91753
37	88346
38	83635
39	77360
40	71124
41	63574
42	56989
43	51509
44	46278
45	41356
46	38134
47	34928
48	32562
49	31056
50	30036
51	29328
52	29083
53	28820
54	29211
55	29201
56	29230
57	29180
58	29257
59	29777
60	29249
61	29838
62	29516
63	29391
64	29809
65	30053
66	30228
67	30355
68	30856
69	30764
70	31282
71	31122
72	31988
73	32218
74	32515
75	33319
76	33354
77	34581
78	35273
79	35767
80	37033
81	38297
82	39481
83	41128
84	43034
85	44465
86	46711
87	48979
88	51732
89	54468
90	57006
91	59264
92	61225
93	63061
94	63914
95	63846
96	63588
97	62069
98	60407
99	57691
100	54459
101	50920
102	48093
103	44284
104	41024
105	38118
106	35797
107	33603
108	31593
109	29862
110	29025
111	27932
112	27185
113	26320
114	26081
115	25765
116	25272
117	25334
118	25032
119	24943
120	24309
121	24374
122	24630
123	24658
124	24361
125	24386
126	24563
127	24578
128	25019
129	24273
130	24419
131	24083
132	24281
133	24093
134	23904
135	23089
136	22643
137	22143
138	21689
139	20908
140	19887
141	19470
142	18764
143	17794
144	17444
145	16892
146	16264
147	15651
148	15441
149	15232
150	14672
151	14313
152	13951
153	13603
154	13568
155	13652
156	13272
157	13418
158	13130
159	13054
160	13214
161	12927
162	12761
163	12850
164	12562
165	12735
166	12597
167	12385
168	12315
169	12432
170	12290
171	12166
172	12508
173	12080
174	12321
175	12496
176	12484
177	12550
178	12331
179	12593
180	12774
181	12611
182	12680
183	12858
184	12949
185	12794
186	13146
187	12964
188	13265
189	13233
190	13285
191	13355
192	13229
193	13296
194	13384
195	13494
196	13434
197	13712
198	13368
199	13423
200	13538
201	13410
202	13270
203	13642
204	13635
205	13397
206	13654
207	13310
208	13554
209	13588
210	13675
211	13576
212	13518
213	13641
214	13711
215	13634
216	14122
217	13849
218	14133
219	14351
220	14258
221	14256
222	14479
223	14153
224	14588
225	14251
226	13959
227	13914
228	13842
229	13666
230	13354
231	13169
232	12864
233	12379
234	12286
235	11707
236	11417
237	10951
238	10480
239	10112
240	9764
241	9324
242	9203
243	8603
244	8217
245	8067
246	7709
247	7551
248	7325
249	6968
250	6985
251	6815
252	6586
253	6436
254	6439
255	6286
256	6291
257	6133
258	6132
259	6176
260	5973
261	6095
262	6083
263	6101
264	6307
265	6116
266	6075
267	6070
268	6142
269	6164
270	6094
271	6267
272	6077
273	6119
274	6096
275	6099
276	6022
277	6092
278	6172
279	6055
280	6000
281	5987
282	5880
283	5971
284	5977
285	5914
286	5844
287	5725
288	5818
289	5690
290	5654
291	5571
292	5696
293	5460
294	5344
295	5535
296	5289
297	5171
298	5276
299	5158
300	5264
301	5045
302	5061
303	4995
304	4889
305	4972
306	4982
307	4923
308	5050
309	5028
310	4889
311	4878
312	4862
313	4835
314	4957
315	4943
316	4916
317	4944
318	5012
319	5036
320	5164
321	5012
322	5207
323	5235
324	5279
325	5318
326	5407
327	5495
328	5390
329	5564
330	5755
331	5691
332	5820
333	5888
334	6041
335	5876
336	5998
337	6018
